date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,debt_relief,fiscal_measures,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,pos_rate
2020-06-01,US_MT,3,1,1,3,1,2,1,2,1,NA,2,2,NA,NA,1,NA,0.004656577415599534
2020-06-01,US_NC,3,2,1,3,1,1,1,2,1,NA,2,1,NA,NA,3,NA,0.048381307874524444
2020-06-01,US_ND,3,1,1,0,0,1,1,2,1,NA,2,2,NA,NA,1,NA,0.020363951473136917
2020-06-01,US_NE,3,2,2,4,1,1,1,2,1,NA,3,1,NA,NA,1,NA,0.08711111111111111
2020-06-01,US_NH,3,2,2,4,2,2,1,2,2,NA,3,2,NA,NA,2,NA,0.02257636122177955
2020-06-01,US_NJ,3,2,2,4,1,2,1,2,2,NA,3,1,0,0,2,NA,0.009584276933031382
2020-06-01,US_NM,3,2,2,4,2,1,2,2,1,NA,3,2,NA,NA,3,NA,0.03161492452292794
2020-06-01,US_NV,3,2,2,3,0,1,1,2,2,NA,2,1,NA,NA,2,NA,0.09509509509509509
2020-06-01,US_NY,3,3,2,4,1,2,1,2,2,0,3,2,0,0,3,NA,0.01883808456117873
2020-06-01,US_OH,3,2,2,4,0,1,1,2,1,NA,2,1,NA,NA,2,NA,0.04232186180249798
2020-06-01,US_OK,3,1,1,3,1,1,1,2,1,NA,3,1,NA,NA,1,NA,1
2020-06-01,US_OR,3,2,2,4,0,2,1,2,2,0,1,1,0,0,2,NA,0.01570113697888468
2020-06-01,US_PA,3,2,2,4,1,2,1,2,2,0,1,1,0,0,2,NA,0.04182012593560651
2020-06-01,US_RI,3,2,2,3,0,1,2,2,2,NA,3,1,NA,NA,3,NA,0.05421686746987952
2020-06-01,US_SC,3,2,2,3,0,1,1,2,1,0,2,2,0,0,1,NA,0.06417710196779965
2020-06-01,US_SD,3,1,1,0,0,1,1,2,1,0,2,1,0,0,2,NA,0.025883838383838384
2020-06-01,US_TN,3,2,2,3,1,1,1,2,1,0,3,1,0,0,1,NA,0.04378395653563439
2020-06-01,US_TX,3,2,1,0,0,1,1,2,1,NA,2,1,NA,NA,1,NA,0.017298211837460983
2020-06-01,US_UT,3,1,2,3,0,1,1,2,1,NA,2,2,NA,NA,1,NA,0.05447680690399137
2020-06-01,US_VA,3,2,2,4,0,1,2,2,2,0,2,1,0,0,2,NA,0.0993968333752199
2020-06-01,US_VT,3,2,2,3,0,1,2,2,2,NA,3,2,NA,NA,2,NA,0.0027491408934707906
2020-06-01,US_WA,3,2,2,4,1,1,1,2,1,0,2,1,0,0,1,NA,0.018571606630936058
2020-06-01,US_WI,3,1,1,4,1,1,1,2,1,0,3,2,0,0,1,NA,0.015033650904641203
2020-06-01,US_WV,3,2,2,3,0,1,1,2,1,0,1,2,0,0,1,NA,0.008997429305912597
2020-06-01,US_WY,3,1,1,3,2,1,1,2,1,0,2,1,NA,0,2,NA,0.008641975308641974
2020-06-02,US_AK,3,1,1,2,0,1,2,2,2,NA,2,2,NA,NA,1,NA,0.009259259259259259
2020-06-02,US_AL,3,2,2,0,1,2,1,2,1,0,2,2,0,0,3,NA,0.49206349206349204
2020-06-02,US_AZ,3,1,2,0,0,1,1,2,1,NA,2,2,NA,NA,1,NA,0.10177910232096089
2020-06-02,US_CA,3,2,2,4,0,1,1,2,2,0,2,2,NA,NA,3,NA,0.040282673535791756
2020-06-02,US_CO,2,2,2,4,1,1,1,2,2,NA,2,1,NA,NA,2,NA,0.06215022091310751
2020-06-02,US_CT,3,2,2,4,1,1,1,2,2,NA,3,2,NA,NA,3,NA,0.028693009118541033
2020-06-02,US_DC,3,2,2,3,2,1,1,2,2,NA,2,1,NA,NA,1,NA,0.2968036529680365
2020-06-02,US_DE,3,2,2,4,1,2,1,2,2,NA,2,2,NA,NA,3,NA,0.2057142857142857
2020-06-02,US_FL,3,2,2,4,1,2,2,2,2,0,1,1,0,0,3,NA,0.12067269866247049
2020-06-02,US_GA,3,2,2,3,1,2,1,2,2,0,3,2,0,0,1,NA,0.09071307561989836
2020-06-02,US_IA,3,2,1,0,1,1,1,2,2,0,2,2,0,0,1,NA,0.06921241050119331
2020-06-02,US_ID,3,2,1,3,0,1,1,2,1,NA,2,1,NA,NA,1,NA,0.046722454672245464
2020-06-02,US_IL,3,1,2,4,0,2,2,2,2,NA,2,1,NA,NA,2,NA,0.09822895745846266
2020-06-02,US_IN,3,2,2,3,0,1,1,2,2,NA,2,2,NA,NA,1,NA,0.040822467402206616
2020-06-02,US_KY,3,2,2,4,2,1,1,2,2,0,3,2,0,0,1,NA,0.012407390877443542
2020-06-02,US_LA,3,2,2,2,1,1,1,2,2,NA,2,1,NA,NA,3,NA,0.07027589796980739
