date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,sev_day,dir
2020-06-01,US_AK,9,17,103,-15,-25,7,13.857142857142858,1
2020-06-01,US_AL,-1,8,46,-1,-28,8,394.57142857142856,0
2020-06-01,US_AR,2,10,71,-2,-28,7,403.42857142857144,1
2020-06-01,US_AZ,-17,-6,-18,-30,-36,11,712.8571428571429,1
2020-06-01,US_CA,-41,-12,-16,-45,-42,17,2716.4285714285716,1
2020-06-01,US_CO,-14,1,71,-33,-36,11,319.85714285714283,0
2020-06-01,US_CT,-14,-5,60,-33,-39,14,240,0
2020-06-01,US_DE,-11,-3,53,-30,-37,12,78.28571428571429,0
2020-06-01,US_FL,-21,-9,-24,-42,-33,11,930.4285714285714,0
2020-06-01,US_HI,-38,-20,-42,-58,-34,14,2.857142857142857,1
2020-06-01,US_IA,-8,19,143,-2,-30,10,318.85714285714283,1
2020-06-01,US_IL,-27,-7,24,-45,-44,15,1275.142857142857,0
2020-06-01,US_IN,-1,5,100,-3,-30,9,432.57142857142856,0
2020-06-01,US_KS,-5,3,117,1,-29,8,241.71428571428572,0
2020-06-01,US_KY,-3,10,78,-12,-31,9,264.85714285714283,1
2020-06-01,US_LA,-8,2,5,-21,-26,8,437.85714285714283,0
2020-06-01,US_MA,-26,-12,44,-58,-47,17,1024,0
2020-06-01,US_MD,-20,-8,78,-40,-45,17,878.4285714285714,0
2020-06-01,US_ME,-7,6,89,-17,-30,9,36.714285714285715,0
2020-06-01,US_MI,-16,-3,116,-27,-39,12,259.85714285714283,0
2020-06-01,US_MN,-13,6,119,-50,-40,13,390.14285714285717,0
2020-06-01,US_MS,8,9,40,0,-24,6,296.7142857142857,0
2020-06-01,US_MT,8,18,121,1,-21,3,7.714285714285714,1
2020-06-01,US_NC,-8,5,79,-24,-31,9,936.2857142857143,1
2020-06-01,US_ND,3,8,146,-6,-24,6,32.142857142857146,0
2020-06-01,US_NE,-9,3,99,0,-31,11,270,0
2020-06-01,US_NH,-6,0,100,-17,-36,12,70,0
2020-06-01,US_NJ,-37,-8,84,-52,-46,18,688.8571428571429,0
2020-06-01,US_NM,-10,5,16,-15,-34,11,141.28571428571428,1
2020-06-01,US_NV,-21,-3,-24,-41,-37,13,126,1
2020-06-01,US_NY,-40,-8,22,-56,-46,18,1200,0
2020-06-01,US_OH,-3,4,125,-7,-33,9,481,1
2020-06-01,US_OK,3,12,62,2,-28,7,91,1
2020-06-01,US_OR,-11,4,84,-24,-36,10,51.57142857142857,0
2020-06-01,US_PA,-21,-6,59,-43,-39,13,645.4285714285714,0
2020-06-01,US_RI,-6,-1,133,-43,-37,12,112.28571428571429,0
2020-06-01,US_SC,0,7,54,-1,-26,7,316.7142857142857,1
2020-06-01,US_SD,5,22,223,16,-24,7,64.85714285714286,1
2020-06-01,US_TN,1,6,75,-16,-29,8,491.57142857142856,0
2020-06-01,US_TX,-12,-3,1,-30,-35,12,1449.142857142857,0
2020-06-01,US_UT,-6,11,113,-30,-37,10,270.2857142857143,1
2020-06-01,US_VA,-17,-1,58,-38,-39,14,922.1428571428571,0
2020-06-01,US_VT,-13,-4,59,-32,-38,12,7.285714285714286,1
2020-06-01,US_WA,-22,-2,69,-41,-42,13,296.14285714285717,1
2020-06-01,US_WI,-9,6,116,-12,-31,11,445.14285714285717,0
2020-06-01,US_WV,5,10,54,4,-27,7,26.571428571428573,0
2020-06-01,US_WY,11,22,143,22,-21,4,6.428571428571429,0
2020-06-02,US_AK,7,15,103,-18,-25,8,15.142857142857142,1
2020-06-02,US_AL,-4,7,36,-3,-27,9,366.2857142857143,0
2020-06-02,US_AZ,-18,-4,-18,-28,-37,12,838.1428571428571,1
2020-06-02,US_CA,-39,-6,-8,-44,-42,17,2734,1
2020-06-02,US_CO,-15,2,62,-35,-39,13,286,0
2020-06-02,US_CT,-17,-4,52,-32,-40,15,242.57142857142858,1
2020-06-02,US_DE,-12,-1,57,-31,-37,13,66.71428571428571,0
2020-06-02,US_FL,-22,-8,-25,-41,-33,12,1000.1428571428571,1
2020-06-02,US_GA,-10,2,40,-38,-35,12,702.7142857142857,1
2020-06-02,US_IA,-9,19,163,0,-31,10,318,0
2020-06-02,US_ID,5,16,219,10,-28,6,46.142857142857146,1
2020-06-02,US_IL,-24,-3,45,-43,-42,15,1208.5714285714287,0
2020-06-02,US_IN,1,11,156,0,-31,9,431.42857142857144,0
2020-06-02,US_KY,-5,12,95,-10,-32,9,231.42857142857142,0
2020-06-02,US_LA,-7,7,9,-19,-28,9,455.2857142857143,1
2020-06-02,US_MA,-28,-11,52,-56,-47,18,1006.4285714285714,0
2020-06-02,US_MD,-19,-4,95,-38,-46,17,826,0
2020-06-02,US_ME,-10,3,122,-14,-31,10,36.57142857142857,0
2020-06-02,US_MI,-17,1,168,-23,-39,13,243.57142857142858,0
2020-06-02,US_MN,-19,3,84,-52,-40,15,382.14285714285717,0
2020-06-02,US_MS,5,8,43,3,-25,7,278.2857142857143,0
2020-06-02,US_MT,7,19,149,3,-23,4,6.857142857142857,0
2020-06-02,US_NC,-9,5,79,-22,-32,10,966.7142857142857,1
2020-06-02,US_ND,0,8,119,-6,-25,7,32.142857142857146,1
2020-06-02,US_NE,-8,7,114,0,-32,11,265.14285714285717,0
2020-06-02,US_NH,-8,1,101,-13,-36,14,64.28571428571429,0
2020-06-02,US_NJ,-38,-5,68,-53,-47,19,656.2857142857143,0
2020-06-02,US_NM,-7,10,32,-11,-34,12,168.42857142857142,1
2020-06-02,US_NV,-19,0,-20,-39,-38,13,130.85714285714286,1
2020-06-02,US_NY,-43,-8,14,-57,-47,19,1132,0
2020-06-02,US_OH,-4,7,154,-6,-33,9,456,0
2020-06-02,US_OK,2,12,91,2,-28,7,95,1
2020-06-02,US_OR,-13,5,87,-25,-38,11,55.42857142857143,1
2020-06-02,US_PA,-18,-1,72,-40,-40,13,523.7142857142857,0
2020-06-02,US_RI,-11,-2,126,-42,-38,13,101.85714285714286,0
2020-06-02,US_SC,1,9,57,1,-27,8,331.7142857142857,1
2020-06-02,US_SD,5,23,214,14,-26,7,58.714285714285715,0
2020-06-02,US_TN,-1,7,91,-15,-29,8,490.7142857142857,0
2020-06-02,US_TX,-11,-2,14,-28,-36,13,1515.2857142857142,1
2020-06-02,US_UT,-8,12,149,-30,-37,11,284,1
2020-06-02,US_VA,-18,0,76,-35,-40,14,857,0
2020-06-02,US_VT,-17,-6,78,-24,-39,13,7.428571428571429,1
2020-06-02,US_WA,-24,-1,63,-42,-43,15,300.57142857142856,1
2020-06-02,US_WI,-10,6,180,-11,-33,11,393.7142857142857,0
2020-06-02,US_WV,6,12,59,1,-27,6,24,0
2020-06-02,US_WY,7,21,135,17,-22,5,6,0
2020-06-03,US_AK,11,16,106,-12,-25,7,12.285714285714286,0
2020-06-03,US_AL,1,9,44,-1,-28,8,383.42857142857144,1
2020-06-03,US_AR,4,13,101,-2,-27,7,412.57142857142856,1
2020-06-03,US_AZ,-18,-2,-20,-28,-37,12,885.1428571428571,1
2020-06-03,US_CA,-36,-3,-5,-43,-42,16,2604.1428571428573,0
2020-06-03,US_CO,-13,2,74,-35,-40,12,250,0
2020-06-03,US_CT,-15,-1,57,-31,-40,15,256.57142857142856,1
2020-06-03,US_DE,-13,-2,65,-29,-38,13,68.42857142857143,1
2020-06-03,US_FL,-22,-11,-30,-43,-34,13,1075.7142857142858,1
2020-06-03,US_GA,-8,2,48,-37,-36,11,715.2857142857143,1
2020-06-03,US_HI,-37,-16,-34,-61,-35,15,3.7142857142857144,1
2020-06-03,US_IA,-6,23,153,5,-30,9,319.14285714285717,1
2020-06-03,US_ID,6,17,180,13,-28,6,48.857142857142854,1
2020-06-03,US_IL,-21,-1,35,-40,-41,15,1139,0
2020-06-03,US_IN,0,10,112,-2,-30,9,398,0
2020-06-03,US_KS,-2,12,130,5,-31,8,227.71428571428572,0
2020-06-03,US_KY,-3,16,98,-10,-32,9,260.42857142857144,1
2020-06-03,US_LA,-6,7,6,-17,-29,9,415.57142857142856,0
2020-06-03,US_MA,-27,-8,58,-56,-47,18,975.8571428571429,0
2020-06-03,US_MD,-20,-4,82,-40,-46,18,781,0
2020-06-03,US_ME,-9,7,88,-19,-32,10,34.57142857142857,0
2020-06-03,US_MI,-13,6,147,-22,-39,12,227.57142857142858,0
2020-06-03,US_MN,-10,12,165,-43,-39,13,381.7142857142857,0
2020-06-03,US_MS,9,14,32,2,-26,7,220,0
2020-06-03,US_MT,6,21,134,3,-23,4,5.857142857142857,0
2020-06-03,US_NC,-8,6,57,-23,-33,10,993.1428571428571,1
2020-06-03,US_ND,2,8,NA,-2,-25,6,37.42857142857143,1
2020-06-03,US_NE,-4,12,113,1,-31,10,246.42857142857142,0
2020-06-03,US_NH,-5,4,78,-18,-36,14,60.142857142857146,0
2020-06-03,US_NJ,-39,-7,57,-53,-47,20,627.4285714285714,0
2020-06-03,US_NM,-9,9,31,-13,-34,12,168,0
2020-06-03,US_NV,-18,2,-19,-37,-38,13,137.85714285714286,1
2020-06-03,US_NY,-43,-7,10,-58,-47,19,1093.7142857142858,0
2020-06-03,US_OH,-3,9,130,-9,-33,10,439.57142857142856,0
2020-06-03,US_OK,8,18,95,7,-27,6,104.57142857142857,1
2020-06-03,US_OR,-12,7,98,-24,-38,11,62.714285714285715,1
2020-06-03,US_PA,-23,-4,38,-43,-40,14,525,1
2020-06-03,US_RI,-10,0,111,-46,-39,13,96.71428571428571,0
2020-06-03,US_SC,2,8,49,3,-28,8,360.2857142857143,1
2020-06-03,US_SD,3,23,225,14,-26,7,58.142857142857146,0
2020-06-03,US_TN,1,11,84,-16,-30,8,500.7142857142857,1
2020-06-03,US_TX,-9,3,15,-28,-35,12,1602.142857142857,1
2020-06-03,US_UT,-6,14,140,-28,-37,11,323.57142857142856,1
2020-06-03,US_VA,-17,3,63,-34,-41,14,826.5714285714286,0
2020-06-03,US_VT,-17,-5,44,-28,-38,14,9.571428571428571,1
2020-06-03,US_WA,-22,2,93,-40,-43,14,304.14285714285717,1
2020-06-03,US_WI,-5,10,185,-7,-32,10,365,0
2020-06-03,US_WV,4,9,55,3,-29,7,22.428571428571427,0
2020-06-03,US_WY,5,17,132,18,-24,6,5.857142857142857,0
2020-06-04,US_AK,6,15,138,-14,-26,7,13.857142857142858,1
2020-06-04,US_AL,-6,8,35,-4,-27,9,371,0
2020-06-04,US_AZ,-18,-5,-16,-30,-37,12,993.2857142857143,1
2020-06-04,US_CA,-35,-3,-6,-43,-42,16,2616.1428571428573,1
2020-06-04,US_CO,-15,3,85,-34,-40,12,231.85714285714286,0
2020-06-04,US_CT,-14,-1,96,-30,-39,14,252.42857142857142,0
2020-06-04,US_DE,-10,2,72,-27,-38,13,56.857142857142854,0
2020-06-04,US_FL,-24,-12,-38,-43,-34,14,1121.142857142857,1
2020-06-04,US_GA,-11,1,23,-38,-36,12,711.4285714285714,0
2020-06-04,US_IA,-8,15,175,-1,-31,10,302.14285714285717,0
2020-06-04,US_ID,4,16,203,8,-29,6,48,0
2020-06-04,US_IL,-20,2,53,-39,-40,14,1071,0
2020-06-04,US_IN,-3,9,110,-3,-30,10,403.2857142857143,1
2020-06-04,US_KY,-9,8,48,-13,-33,10,253.14285714285714,0
2020-06-04,US_LA,-8,9,11,-18,-28,9,414.2857142857143,0
2020-06-04,US_MA,-27,-4,94,-56,-46,17,924.4285714285714,0
2020-06-04,US_MD,-22,-4,63,-42,-46,18,742.1428571428571,0
2020-06-04,US_ME,-7,10,174,-12,-30,8,35,1
2020-06-04,US_MI,-15,4,180,-24,-39,12,200.14285714285714,0
2020-06-04,US_MN,-15,10,145,-43,-39,13,380.85714285714283,0
2020-06-04,US_MS,1,10,38,3,-25,7,252.71428571428572,1
2020-06-04,US_MT,6,21,141,4,-23,4,4.857142857142857,0
2020-06-04,US_NC,-10,5,52,-24,-33,11,993.8571428571429,1
2020-06-04,US_ND,1,7,161,-5,-25,7,40.42857142857143,1
2020-06-04,US_NE,-8,10,126,2,-31,11,234,0
2020-06-04,US_NH,-5,7,173,-15,-35,12,50.142857142857146,0
2020-06-04,US_NJ,-36,-1,99,-51,-47,19,546.5714285714286,0
2020-06-04,US_NM,-10,9,39,-13,-36,12,178.71428571428572,1
2020-06-04,US_NV,-18,-2,-16,-35,-38,12,150.85714285714286,1
2020-06-04,US_NY,-40,-3,46,-55,-46,18,1046.7142857142858,0
2020-06-04,US_OH,-7,6,100,-11,-33,11,423.2857142857143,0
2020-06-04,US_OK,3,13,80,3,-29,7,99.85714285714286,0
2020-06-04,US_OR,-15,6,81,-26,-38,11,68.14285714285714,1
2020-06-04,US_PA,-22,-1,53,-40,-40,14,523.7142857142857,0
2020-06-04,US_RI,-7,0,235,-40,-39,13,92.85714285714286,0
2020-06-04,US_SC,-2,7,38,2,-28,9,346.42857142857144,0
2020-06-04,US_SD,2,22,237,17,-27,8,63.57142857142857,1
2020-06-04,US_TN,-3,7,61,-16,-30,9,482.14285714285717,0
2020-06-04,US_TX,-11,0,26,-27,-36,12,1527.2857142857142,0
2020-06-04,US_UT,-8,12,148,-28,-38,11,324.14285714285717,1
2020-06-04,US_VA,-20,1,48,-36,-41,15,867.7142857142857,1
2020-06-04,US_VT,-17,-3,118,-25,-36,12,11.428571428571429,1
2020-06-04,US_WA,-24,1,84,-42,-43,14,311.14285714285717,1
2020-06-04,US_WI,-6,10,198,-6,-31,10,378.2857142857143,1
2020-06-04,US_WV,1,8,35,1,-28,8,19.142857142857142,0
2020-06-04,US_WY,5,22,146,22,-24,5,6.285714285714286,1
2020-06-05,US_AK,3,13,163,-13,-24,6,12.571428571428571,0
2020-06-05,US_AL,-10,2,41,-5,-28,10,376.2857142857143,1
2020-06-05,US_AR,-4,10,127,-3,-29,7,393.2857142857143,0
2020-06-05,US_AZ,-21,-6,-14,-30,-36,13,1079.2857142857142,1
2020-06-05,US_CA,-36,-5,-10,-42,-40,16,2597,0
2020-06-05,US_CO,-19,2,80,-32,-38,11,229.42857142857142,0
2020-06-05,US_CT,-20,-6,33,-36,-39,16,192.71428571428572,0
2020-06-05,US_DE,-16,-2,NA,-32,-37,14,56.142857142857146,0
2020-06-05,US_FL,-23,-10,-27,-43,-33,13,1199.857142857143,1
2020-06-05,US_GA,-15,-2,47,-37,-36,12,697,0
2020-06-05,US_HI,-35,-14,-37,-61,-32,15,3.7142857142857144,1
2020-06-05,US_IA,-6,21,220,4,-29,6,327.14285714285717,1
2020-06-05,US_ID,-2,12,181,3,-29,5,50,1
2020-06-05,US_IL,-22,-1,59,-35,-39,13,1129.2857142857142,1
2020-06-05,US_IN,-6,4,161,-3,-31,9,399,0
2020-06-05,US_KS,-3,2,173,7,-29,6,244.28571428571428,1
2020-06-05,US_KY,-10,9,105,-10,-33,10,237.42857142857142,0
2020-06-05,US_LA,-13,7,11,-22,-29,10,387,0
2020-06-05,US_MA,-31,-8,45,-56,-45,19,403,0
2020-06-05,US_MD,-27,-9,50,-42,-44,19,725.2857142857143,0
2020-06-05,US_ME,-12,4,162,-15,-33,10,34.142857142857146,0
2020-06-05,US_MI,-24,-2,160,-24,-39,13,184.42857142857142,0
2020-06-05,US_MN,-17,10,172,-41,-39,12,362.7142857142857,0
2020-06-05,US_MO,-3,4,125,-8,-24,8,262.42857142857144,1
2020-06-05,US_MS,-7,1,33,-2,-27,8,288,1
2020-06-05,US_MT,-1,20,139,5,-24,4,5.142857142857143,1
2020-06-05,US_NC,-12,3,65,-25,-32,10,1031.5714285714287,1
2020-06-05,US_ND,-7,4,205,-1,-25,6,36.42857142857143,0
2020-06-05,US_NE,-9,11,141,4,-31,9,219,0
2020-06-05,US_NJ,-41,-7,33,-53,-46,21,527.5714285714286,0
2020-06-05,US_NM,-15,10,29,-15,-33,11,180.28571428571428,1
2020-06-05,US_NV,-20,-4,-16,-35,-38,13,156.85714285714286,1
2020-06-05,US_NY,-44,-8,4,-57,-46,19,1012.5714285714286,0
2020-06-05,US_OH,-11,3,179,-7,-33,10,407.57142857142856,0
2020-06-05,US_OR,-19,1,56,-27,-37,11,80.71428571428571,1
2020-06-05,US_PA,-24,-5,52,-39,-38,14,523.5714285714286,0
2020-06-05,US_RI,-15,-5,112,-39,-38,15,85.14285714285714,0
2020-06-05,US_SC,-5,6,46,6,-29,8,378.85714285714283,1
2020-06-05,US_SD,0,26,284,15,-25,7,62.42857142857143,0
2020-06-05,US_TN,-8,2,69,-16,-30,9,484.2857142857143,1
2020-06-05,US_TX,-14,0,12,-27,-35,12,1533.7142857142858,1
2020-06-05,US_UT,-13,12,120,-27,-36,10,331.85714285714283,1
2020-06-05,US_VA,-22,-3,50,-35,-40,15,836.1428571428571,0
2020-06-05,US_VT,-21,-6,116,-33,-38,12,12.571428571428571,1
2020-06-05,US_WA,-26,-2,76,-40,-42,14,313.14285714285717,1
2020-06-05,US_WI,-11,6,189,-6,-31,11,385.42857142857144,1
2020-06-05,US_WV,-6,1,41,6,-29,9,19.428571428571427,1
2020-06-05,US_WY,-1,18,176,28,-24,5,7.142857142857143,1
2020-06-06,US_AK,2,18,193,-7,-9,0,12.857142857142858,1
2020-06-06,US_AL,-11,8,55,7,-9,3,417.42857142857144,1
2020-06-06,US_AR,-9,12,106,4,-8,2,400.14285714285717,1
2020-06-06,US_AZ,-23,-5,-15,-28,-13,6,1006.5714285714286,0
2020-06-06,US_CA,-37,-4,-6,-35,-17,9,2643.4285714285716,1
2020-06-06,US_CO,-26,-4,27,-32,-16,7,222.71428571428572,0
2020-06-06,US_CT,-17,-5,169,-25,-13,6,171.42857142857142,0
2020-06-06,US_DE,-12,5,NA,-20,-10,5,56.142857142857146,1
2020-06-06,US_FL,-28,-14,-48,-48,-18,8,1205.4285714285713,1
2020-06-06,US_GA,-15,-1,61,-31,-12,5,720.2857142857143,1
2020-06-06,US_HI,-38,-17,-25,-62,-26,9,3.5714285714285716,0
2020-06-06,US_IA,-13,25,282,10,-4,1,317.14285714285717,0
2020-06-06,US_ID,-7,8,NA,8,-9,2,44.857142857142854,0
2020-06-06,US_IL,-23,4,112,-19,-11,4,1012.5714285714286,0
2020-06-06,US_IN,-6,12,272,11,-10,1,399.42857142857144,1
2020-06-06,US_KY,-11,14,187,1,-11,2,242.57142857142858,1
2020-06-06,US_LA,-19,9,-20,-20,-15,5,409.42857142857144,1
2020-06-06,US_MA,-35,-13,89,-47,-20,8,389.42857142857144,0
2020-06-06,US_MD,-24,-1,159,-22,-15,6,675.5714285714286,0
2020-06-06,US_ME,-20,0,116,-20,-13,5,32.714285714285715,0
2020-06-06,US_MI,-23,5,285,-14,-13,3,152,0
2020-06-06,US_MN,-26,6,132,-37,-11,5,355.7142857142857,0
2020-06-06,US_MO,-14,9,141,-7,-7,2,339.14285714285717,1
2020-06-06,US_MS,-5,10,47,6,-9,3,351.85714285714283,1
2020-06-06,US_NC,-15,4,95,-19,-12,3,1038.7142857142858,1
2020-06-06,US_ND,-17,0,113,-13,-7,4,36.42857142857143,1
2020-06-06,US_NE,-16,7,162,7,-8,3,201,0
2020-06-06,US_NH,-14,1,136,-14,-14,5,52.857142857142854,1
2020-06-06,US_NJ,-38,-2,168,-41,-17,8,481,0
2020-06-06,US_NM,-21,4,18,-15,-15,6,154.42857142857142,0
2020-06-06,US_NV,-22,-3,-25,-30,-28,7,171.42857142857142,1
2020-06-06,US_NY,-42,-4,74,-47,-21,8,920.2857142857143,0
2020-06-06,US_OH,-12,8,270,4,-11,1,401.7142857142857,0
2020-06-06,US_OK,-7,12,110,11,-9,1,112.85714285714286,1
2020-06-06,US_OR,-25,-1,27,-24,-16,7,88.57142857142857,1
2020-06-06,US_PA,-25,-2,139,-24,-13,4,506.57142857142856,0
2020-06-06,US_RI,-17,-5,216,-41,-17,6,79.57142857142857,0
2020-06-06,US_SC,-8,8,81,15,-10,3,401.85714285714283,1
2020-06-06,US_SD,-10,18,184,16,-7,4,65.14285714285714,1
2020-06-06,US_TN,-8,9,140,-6,-8,1,457.14285714285717,0
2020-06-06,US_TX,-18,-1,15,-23,-13,5,1526.4285714285713,0
2020-06-06,US_UT,-22,0,59,-26,-11,5,336.7142857142857,1
2020-06-06,US_VA,-23,1,92,-20,-14,5,785.5714285714286,0
2020-06-06,US_VT,-23,-7,115,-45,-18,5,13.428571428571429,1
2020-06-06,US_WA,-30,-3,65,-31,-18,7,314.57142857142856,1
2020-06-06,US_WI,-11,14,278,9,-3,2,368.42857142857144,0
2020-06-06,US_WV,-4,12,128,27,-9,1,18.285714285714285,0
2020-06-06,US_WY,-7,12,135,27,-10,3,8.285714285714286,1
2020-06-07,US_AK,15,19,195,-11,-7,-1,14,1
2020-06-07,US_AL,-15,-1,36,-7,-17,5,509.85714285714283,1
2020-06-07,US_AR,-4,13,109,2,-12,2,477.42857142857144,1
2020-06-07,US_AZ,-19,-7,-7,-29,-14,5,1088.4285714285713,1
2020-06-07,US_CA,-35,-7,7,-35,-18,8,2782,1
2020-06-07,US_CO,-14,2,95,-30,-15,3,205.57142857142858,0
2020-06-07,US_CT,-13,-6,141,-27,-12,4,179.42857142857142,1
2020-06-07,US_DE,-9,3,160,-22,-14,3,59.857142857142854,1
2020-06-07,US_FL,-27,-14,-40,-49,-21,8,1263,1
2020-06-07,US_GA,-16,-4,55,-38,-19,5,726.5714285714286,1
2020-06-07,US_HI,-39,-19,-30,-66,-28,9,4.285714285714286,1
2020-06-07,US_IA,-2,28,266,3,-8,0,356.57142857142856,1
2020-06-07,US_ID,3,10,71,9,-15,3,46.714285714285715,1
2020-06-07,US_IL,-21,-1,138,-27,-15,3,961.5714285714286,0
2020-06-07,US_IN,-3,10,247,6,-13,1,375,0
2020-06-07,US_LA,-35,-11,-50,-40,-27,9,413.85714285714283,1
2020-06-07,US_MA,-31,-14,72,-49,-17,7,366.2857142857143,0
2020-06-07,US_MD,-21,-4,192,-25,-18,6,640.4285714285714,0
2020-06-07,US_ME,-6,10,156,-9,-7,1,31.285714285714285,0
2020-06-07,US_MI,-13,4,299,-17,-14,1,150.28571428571428,0
2020-06-07,US_MN,-16,8,189,-40,-14,2,330,0
2020-06-07,US_MS,-15,-3,9,-9,-19,6,395.57142857142856,1
2020-06-07,US_MT,5,18,74,9,-9,1,5.571428571428571,1
2020-06-07,US_NC,-13,2,70,-24,-17,3,1056.2857142857142,1
2020-06-07,US_ND,-4,6,209,-12,-9,0,37.42857142857143,1
2020-06-07,US_NE,-9,7,133,4,-9,2,181.71428571428572,0
2020-06-07,US_NH,-7,-2,116,-16,-13,3,50.285714285714285,0
2020-06-07,US_NJ,-36,-6,206,-44,-17,6,482.85714285714283,1
2020-06-07,US_NM,-15,5,35,-12,-12,4,158.57142857142858,1
2020-06-07,US_NV,-19,-4,-5,-35,-29,6,176.14285714285714,1
2020-06-07,US_NY,-37,-6,113,-45,-20,6,867.2857142857143,0
2020-06-07,US_OH,-5,6,271,-2,-12,0,397.57142857142856,0
2020-06-07,US_OK,-1,10,89,7,-12,1,112.57142857142857,0
2020-06-07,US_OR,-19,-2,15,-24,-19,6,93.28571428571429,1
2020-06-07,US_PA,-17,-2,180,-26,-14,2,492,0
2020-06-07,US_RI,-7,-4,173,-35,-13,4,79.42857142857143,0
2020-06-07,US_SC,-4,6,64,18,-16,3,444,1
2020-06-07,US_SD,9,29,295,26,-6,0,63.142857142857146,0
2020-06-07,US_TN,-5,7,102,-13,-16,2,462.7142857142857,1
2020-06-07,US_TX,-15,-4,4,-28,-15,5,1640.857142857143,1
2020-06-07,US_UT,-14,4,35,-25,-20,5,338.14285714285717,1
2020-06-07,US_VA,-19,-1,116,-26,-17,4,753.1428571428571,0
2020-06-07,US_VT,-14,-2,146,-28,-16,2,14.714285714285714,1
2020-06-07,US_WA,-20,-4,46,-33,-19,6,328.85714285714283,1
2020-06-07,US_WI,0,9,281,0,-7,0,344.14285714285717,0
2020-06-07,US_WV,5,17,149,23,-11,0,16.714285714285715,0
2020-06-07,US_WY,5,14,147,23,-10,1,9.285714285714286,1
2020-06-08,US_AK,3,8,90,-12,-25,7,14.428571428571429,1
2020-06-08,US_AZ,-14,-7,0,-28,-36,10,1215.857142857143,1
2020-06-08,US_CA,-32,-7,3,-41,-40,14,2726,0
2020-06-08,US_CO,-13,0,82,-32,-35,10,183.85714285714286,0
2020-06-08,US_CT,-10,-3,100,-29,-38,13,174.57142857142858,0
2020-06-08,US_DE,-6,1,90,-27,-35,11,59.57142857142857,0
2020-06-08,US_FL,-22,-12,-25,-42,-32,11,1351.2857142857142,1
2020-06-08,US_GA,-12,-2,33,-40,-34,11,732.2857142857143,1
2020-06-08,US_HI,-36,-20,-45,-59,-33,13,4.571428571428571,1
2020-06-08,US_IA,-5,19,177,2,-29,8,304.7142857142857,0
2020-06-08,US_IL,-17,-1,67,-37,-39,12,938.2857142857143,0
2020-06-08,US_IN,1,6,129,-2,-29,8,378.85714285714283,1
2020-06-08,US_KS,-6,2,111,-1,-29,8,242.85714285714286,0
2020-06-08,US_KY,-5,7,75,-11,-31,9,219.28571428571428,0
2020-06-08,US_LA,-21,-11,-34,-35,-34,14,415.7142857142857,1
2020-06-08,US_MA,-22,-9,94,-55,-45,15,372,1
2020-06-08,US_MD,-19,-7,93,-39,-43,16,619.8571428571429,0
2020-06-08,US_ME,-5,8,157,-14,-30,7,31.571428571428573,1
2020-06-08,US_MI,-8,-1,189,-24,-36,10,148.71428571428572,0
2020-06-08,US_MN,-12,6,138,-44,-38,12,304,0
2020-06-08,US_MS,-8,-3,-16,-11,-29,11,385.57142857142856,0
2020-06-08,US_MT,6,15,78,2,-22,6,5.571428571428571,1
2020-06-08,US_NC,-9,3,71,-25,-32,9,1073.5714285714287,1
2020-06-08,US_ND,3,2,133,-7,-23,7,39.142857142857146,1
2020-06-08,US_NE,-4,6,121,1,-30,9,165.57142857142858,0
2020-06-08,US_NH,-1,3,170,-15,-35,11,48.142857142857146,0
2020-06-08,US_NJ,-33,-6,121,-51,-44,17,483.7142857142857,1
2020-06-08,US_NM,-10,5,23,-16,-34,10,144.85714285714286,0
2020-06-08,US_NV,-15,-3,-2,-33,-36,11,187,1
2020-06-08,US_NY,-36,-5,49,-54,-44,16,822.7142857142857,0
2020-06-08,US_OH,-3,5,147,-7,-32,9,388.85714285714283,0
2020-06-08,US_OK,0,7,59,1,-28,7,117.28571428571429,1
2020-06-08,US_OR,-14,-1,52,-27,-36,11,94.42857142857143,1
2020-06-08,US_PA,-14,-2,87,-35,-37,11,481.85714285714283,0
2020-06-08,US_RI,-3,-4,236,-40,-36,11,75.14285714285714,0
2020-06-08,US_SC,-2,4,45,0,-26,8,497.57142857142856,1
2020-06-08,US_SD,6,20,221,16,-23,7,59.714285714285715,0
2020-06-08,US_TN,-4,1,62,-16,-29,9,488.2857142857143,1
2020-06-08,US_TX,-13,-5,4,-29,-35,12,1666.142857142857,1
2020-06-08,US_UT,-9,3,55,-30,-37,12,348.42857142857144,1
2020-06-08,US_VA,-16,-3,70,-35,-38,13,684.4285714285714,0
2020-06-08,US_VT,-11,-2,124,-32,-36,10,11.857142857142858,0
2020-06-08,US_WA,-20,-4,46,-42,-41,13,327.7142857142857,0
2020-06-08,US_WI,-4,8,208,-9,-30,9,321.14285714285717,0
2020-06-08,US_WV,3,9,59,4,-27,7,17.142857142857142,1
2020-06-08,US_WY,6,15,123,18,-22,5,12.571428571428571,1
2020-06-09,US_AK,7,11,102,-13,-25,8,16.428571428571427,1
2020-06-09,US_AL,-8,1,9,-7,-27,10,601.8571428571429,1
2020-06-09,US_AR,0,10,86,-3,-28,8,524.5714285714286,1
2020-06-09,US_AZ,-15,-5,-3,-27,-36,11,1226.5714285714287,1
2020-06-09,US_CA,-32,-4,10,-41,-40,15,2803.8571428571427,1
